backbone,corruption_type,severity_level,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,logit_gap_trim1,logit_gap_ci_lo,logit_gap_ci_hi,mahalanobis_auroc,msp_auroc,seconds
resnet18,motion_blur,2,0.07206033500000009,0.06680934587500002,0.07705080725000002,-1.7623929217174634,-1.853004786196353,-1.6705347891562956,0.7452390600000001,0.673178725,40.30179262161255
resnet18,motion_blur,3,0.08892229500000004,0.08433225162499985,0.0936452637499999,-2.8203803745338156,-2.9094868462336048,-2.7241387456561146,0.8443351250000001,0.75541283,40.57902145385742
resnet18,motion_blur,4,0.09082055499999997,0.08593104312499994,0.09574228587500011,-2.8286417780104465,-2.9144467710532678,-2.736436048937661,0.84552501,0.754704455,40.73670268058777
resnet18,motion_blur,5,0.09414070499999994,0.0895836866249999,0.09848892687500009,-3.7136114860226925,-3.8009115026574762,-3.6262714941567094,0.9069242249999999,0.81278352,38.9279043674469
resnet18,zoom_blur,1,0.06298794000000008,0.057106784625000004,0.06848049999999994,-1.1427977133592897,-1.2357965496665315,-1.0490733402662502,0.680613515,0.6176255749999999,40.5627658367157
resnet18,zoom_blur,2,0.07851175500000007,0.07297369425000001,0.084067823,-1.382476489925839,-1.4739372308375096,-1.2825009439137554,0.7179150950000001,0.63940334,40.70949196815491
resnet18,zoom_blur,3,0.09518878000000008,0.08990674950000001,0.100421897625,-1.963911028041153,-2.0531870304788935,-1.8671773923980375,0.781266495,0.6860777149999999,40.306779861450195
resnet18,zoom_blur,4,0.10389437499999987,0.0991224727500001,0.10898455687499978,-2.462590228849175,-2.5556140916964707,-2.369682467288581,0.8282580399999999,0.724363665,40.265629291534424
resnet18,zoom_blur,5,0.11055863500000007,0.1060846775000001,0.11526471924999993,-3.2411057228118043,-3.3295461453165762,-3.1529132184085413,0.889294365,0.77873573,40.17704939842224
resnet18,snow,1,-0.007088569999999961,-0.012208141374999995,-0.0017032083749999127,-1.0209773256142292,-1.1107379616913986,-0.9337563342992548,0.576074785,0.5831633549999999,40.89080023765564
resnet18,snow,2,0.032033619999999985,0.027218455000000037,0.03731732174999983,-2.332773662807897,-2.4226416638416763,-2.2388430498601712,0.71536789,0.68333427,39.48309683799744
resnet18,snow,3,0.006549859999999907,0.0015751221249999587,0.011881752874999995,-2.191940175352876,-2.2811280309687763,-2.0993830424719966,0.680121785,0.6735719250000001,40.85828137397766
resnet18,snow,4,0.013618299999999972,0.008571987499999972,0.01860919537500004,-2.606651289775959,-2.695398893392634,-2.518618049394556,0.719829855,0.706211555,40.85867214202881
resnet18,snow,5,0.03817459499999987,0.03383956912499997,0.04258729775000006,-3.2072579536305774,-3.2974530255259085,-3.121095276229863,0.78515582,0.7469812250000001,41.003071308135986
resnet18,frost,1,0.010458134999999924,0.005445751625000031,0.01588422562499998,-1.1664999211926101,-1.2555737491814476,-1.0755980073226166,0.60267399,0.5922158550000001,40.73941707611084
resnet18,frost,2,0.03214352999999992,0.027200918999999987,0.03730986437499997,-2.11540457838265,-2.2042971375665084,-2.0294982979142806,0.6957436049999999,0.663600075,40.71017599105835
resnet18,frost,3,0.04879001500000013,0.044398452749999984,0.053482924374999956,-3.183714317556978,-3.2725905809890112,-3.092753124551385,0.7892344950000001,0.74044448,39.497140884399414
resnet18,frost,4,0.048564219999999936,0.04403202637500003,0.05326354849999999,-3.2408693686008725,-3.3262706374384994,-3.153873876983282,0.7934715549999999,0.744907335,39.489845752716064
resnet18,frost,5,0.05792297000000002,0.05337121562499998,0.06207647437500017,-4.014725987905881,-4.098669556474279,-3.9226806359387343,0.8538233700000001,0.7959004000000001,40.77553153038025
resnet18,fog,1,-0.002316874999999996,-0.007875766250000086,0.003159347625000055,-0.024333475828315798,-0.11304919102192845,0.06472986574425225,0.503613785,0.50593066,39.605998516082764
resnet18,fog,2,0.013397360000000025,0.007953258749999937,0.01908892562499994,-0.2589372863048105,-0.3499313180158124,-0.17176448027821484,0.5455382,0.53214084,39.41600704193115
resnet18,fog,3,0.031605459999999974,0.025996640249999873,0.03708095225000002,-0.597019874286989,-0.6903697475665567,-0.5098786570988051,0.5985927099999999,0.5669872499999999,40.295047998428345
resnet18,fog,4,0.05190694500000004,0.046815102625000056,0.05719334462500004,-1.1314695634796426,-1.2252858559577864,-1.0400735219928394,0.6671332950000001,0.61522635,40.520158767700195
resnet18,fog,5,0.07027563000000003,0.06579858387500014,0.07498367287499992,-2.648083154581194,-2.7432603145349046,-2.5566894614724083,0.8072477450000001,0.736972115,40.38814091682434
resnet18,brightness,1,-0.0012277900000000619,-0.006858108500000082,0.004321977124999914,-0.09466273933369251,-0.18154825940615602,-0.006083408673200212,0.505420205,0.506647995,39.64128804206848
resnet18,brightness,2,-0.0006433200000000028,-0.006170418125000021,0.004713039500000015,-0.277868470563293,-0.3616166320064112,-0.19332284333264163,0.52133878,0.5219821,39.62545132637024
resnet18,brightness,3,0.00197872500000007,-0.0033655286250000747,0.007478408250000067,-0.5429218467487473,-0.6278350993254563,-0.4559458526610764,0.546797665,0.54481894,39.62986183166504
resnet18,brightness,4,0.006524844999999946,0.0011092301249999992,0.012055913999999944,-0.8581398543992069,-0.9428574371172403,-0.7696946359397249,0.57862668,0.572101835,40.444217681884766
resnet18,brightness,5,0.02167364000000005,0.016436184999999985,0.027042307499999998,-1.6065514052154235,-1.6930316843419906,-1.5214219389121677,0.656125335,0.634451695,40.59738731384277
resnet18,contrast,1,0.00012922000000004097,-0.005552144374999965,0.005833948750000014,-0.06441391526188234,-0.1544443951760174,0.02542641412750544,0.5116095,0.51148028,40.76917886734009
resnet18,contrast,2,0.03690627999999996,0.03156818287500003,0.04249423487500001,-0.7332290473583658,-0.8226183275958301,-0.6440517997321942,0.6127686299999999,0.57586235,40.68590950965881
resnet18,contrast,3,0.06978315499999987,0.06471946287500006,0.07510794599999994,-1.414523902405728,-1.5046550949562612,-1.3262071714874932,0.70279567,0.6330125150000001,41.01134443283081
resnet18,contrast,4,0.10536757500000005,0.10058750124999999,0.1102400324999999,-2.6386384640290377,-2.7277041687559427,-2.550048280275682,0.829424075,0.7240565,40.870396852493286
resnet18,contrast,5,0.07334731999999988,0.06966446962500016,0.0766291345,-6.430598210381993,-6.510092936409782,-6.3428322650267015,0.989462855,0.9161155350000001,40.592254877090454
resnet18,elastic_transform,1,0.018146149999999972,0.012790124000000078,0.023480116500000044,-0.9294508384997453,-1.0195520812384524,-0.8374392024422499,0.6116255349999999,0.593479385,40.824219703674316
resnet18,elastic_transform,2,0.025347665000000075,0.019969664625000057,0.030834988624999997,-0.8529957429779493,-0.9431594906050822,-0.7606312140053341,0.6150673050000001,0.58971964,40.59169912338257
resnet18,elastic_transform,3,0.039288215000000015,0.03384209712500001,0.04445545137499997,-1.4077369151765868,-1.4969836371387164,-1.3109023608575803,0.68348869,0.644200475,40.4631290435791
resnet18,elastic_transform,4,0.018493219999999977,0.013772121499999943,0.02322594700000005,-2.6852603931309407,-2.7723180475412086,-2.5934520540215518,0.76962577,0.75113255,40.3079674243927
resnet18,elastic_transform,5,0.022735275000000055,0.018549085625000062,0.027216259874999957,-3.7712572076971504,-3.863500148700465,-3.6886316487094026,0.8387921700000001,0.816056895,40.69258975982666
resnet18,pixelate,1,0.004202240000000024,-0.0007573011249999512,0.009680010500000093,-0.9232184480931362,-1.009065738583326,-0.8351507232311178,0.574337575,0.570135335,39.91311740875244
resnet18,pixelate,2,0.017832790000000043,0.013191753250000156,0.022528251625000047,-2.0849770575853075,-2.1736797479126064,-1.992447088767051,0.67867849,0.6608457,41.279579162597656
resnet18,pixelate,3,0.018945845000000072,0.014558274124999973,0.023559459999999977,-2.733336420372151,-2.8246361443919343,-2.6384587016680072,0.7285895800000001,0.709643735,41.41602683067322
